dataset,method,boosting_iterations,mean_error,sqrt_mean_bias,sqrt_mean_var
FriedmanGra,BagB,5,11.064535971808942,3.0576780094737024,1.3096339802364174
FriedmanGra,BagB,10,11.519892035415989,3.0574591434991123,1.4737149050103509
FriedmanGra,BagB,15,11.821290824471426,3.056930482370637,1.5736793988689846
FriedmanGra,BagB,20,12.045071648886813,3.0602848258288398,1.6369876095097853
FriedmanGra,BagB,25,12.192982771241745,3.0615590377197157,1.6792376335106571
FriedmanGra,BagB,30,12.280438085471499,3.0607285848112458,1.7065692530896155
FriedmanGra,BagB,35,12.344925609302027,3.0608229527216966,1.7251922969321605
FriedmanGra,BagB,40,12.392040783237514,3.061430859800295,1.7377231867877971
FriedmanGra,BagB,45,12.422124593967201,3.0613397329951275,1.746517573101548
FriedmanGra,BagB,50,12.288885495620736,3.0599239567793353,1.7104826436852938
FriedmanGra,BagB,55,12.49331080411749,3.0683280676016,1.7546149645109377
FriedmanGra,BagB,60,12.407303363519784,3.066642354353988,1.7329189346308198
FriedmanGra,BagB,65,12.358687150428853,3.0572839311678637,1.735425629248233
FriedmanGra,BagB,70,12.328473291487107,3.059873132086197,1.7221061834347244
FriedmanGra,BagB,75,12.500778149188585,3.0655699620713666,1.761550157342772
FriedmanGra,BagB,80,12.266691844376215,3.0516583046932477,1.718741817659926
FriedmanGra,BagB,85,12.463621495080323,3.0628758254036246,1.7556802593975898
FriedmanGra,BagB,90,12.518953872619003,3.067483846755545,1.763376511841078
FriedmanGra,BagB,95,12.308260223754612,3.0564708896746335,1.7222792817444463
FriedmanGra,BagB,100,12.75010461555755,3.085146249598682,1.7977700726579957
