dataset,method,boosting_iterations,mean_error,sqrt_mean_bias,sqrt_mean_var
House8L,BagB,5,1081668734.7961102,30670.556562790836,11873.739719429517
House8L,BagB,10,1104615957.280971,30159.087918715984,13965.86457016287
House8L,BagB,15,1131042367.8249536,30109.82026868768,14981.35812309011
House8L,BagB,20,1149755251.5666184,30108.60578308465,15595.740103163418
House8L,BagB,25,1161263800.1027637,30084.28876905751,16006.229080040182
House8L,BagB,30,1171583586.1283937,29993.10539236416,16492.338071084083
House8L,BagB,35,1178534050.8338094,30064.574647742662,16572.730676750845
House8L,BagB,40,1195631723.1822977,30214.390902686922,16814.34820508746
House8L,BagB,45,1189260523.5274594,30062.20602807568,16897.46407757654
House8L,BagB,50,1195313211.8195968,30129.211574817353,16957.11713999431
House8L,BagB,55,1187012374.8055904,29932.051946073865,17061.202803528427
House8L,BagB,60,1174893667.5634158,29844.54455732494,16858.138323351784
House8L,BagB,65,1217573549.4366958,30387.058409774385,17152.26604964066
House8L,BagB,70,1186004177.6586208,30037.242621748348,16845.421732353436
House8L,BagB,75,1225002754.7941766,30417.719751416127,17313.72518895012
House8L,BagB,80,1192152223.530645,30085.607987044295,16941.322722282963
House8L,BagB,85,1190505648.0680645,30010.495139539787,17025.74020557471
House8L,BagB,90,1188668535.864272,30057.006390237937,16889.19485119015
House8L,BagB,95,1191509697.0739071,30069.499305848207,16950.95597804151
House8L,BagB,100,1178894664.1570332,29987.790816881086,16722.053285407743
