dataset,method,boosting_iterations,mean_error,sqrt_mean_bias,sqrt_mean_var
MetroTraffic,BagB,5,4229839.865795838,1949.4431110885503,655.3712096401798
MetroTraffic,BagB,10,4367764.435861816,1954.8442964223661,739.1537137881129
MetroTraffic,BagB,15,4661343.492041303,1964.8545536862705,894.8128714427557
MetroTraffic,BagB,20,4822430.025489738,1969.8005516787853,970.7295257154238
MetroTraffic,BagB,25,4886494.947547415,1971.1839425659684,1000.4642982723071
MetroTraffic,BagB,30,5012748.529235585,1974.7389749761198,1055.0613773358625
MetroTraffic,BagB,35,5003666.598176037,1972.1820190082562,1055.539995488828
MetroTraffic,BagB,40,5049087.482776398,1977.6083762028536,1066.842346904504
MetroTraffic,BagB,45,5056385.234234927,1977.0142029023136,1071.3543184948005
MetroTraffic,BagB,50,5027279.50961433,1976.6991688385879,1058.2721320752837
MetroTraffic,BagB,55,5075763.548479548,1976.7958318609483,1080.7598195791375
MetroTraffic,BagB,60,5080749.065892576,1976.7604249567123,1083.1284726280326
MetroTraffic,BagB,65,5087619.073042934,1976.4694913575997,1086.8244673246754
MetroTraffic,BagB,70,5104297.059126823,1981.4526989079704,1085.4226186684814
MetroTraffic,BagB,75,5078391.874941858,1976.319145205739,1082.84556204249
MetroTraffic,BagB,80,5118947.546178432,1981.009028152963,1092.9550661188614
MetroTraffic,BagB,85,5093896.022672785,1978.7932082573511,1085.4830545095417
MetroTraffic,BagB,90,5110882.099241288,1980.639800553072,1089.9303095640457
MetroTraffic,BagB,95,5091150.411837166,1977.2996310782096,1086.9390878863185
MetroTraffic,BagB,100,5107683.396759515,1979.3440688856303,1090.8164161428772
