dataset,method,boosting_iterations,mean_error,sqrt_mean_bias,sqrt_mean_var
abalone,BagB,5,5.818153595102623,2.2058373241794498,0.9759279145303036
abalone,BagB,10,6.0567803968087475,2.1942199416540165,1.1145309526686962
abalone,BagB,15,6.291296398759316,2.198182761606785,1.2080103250113736
abalone,BagB,20,6.412319123934107,2.1996584043299787,1.2545206368149544
abalone,BagB,25,6.4967869776905784,2.1987674674367863,1.2892666915080837
abalone,BagB,30,6.719016144721401,2.2081652535173393,1.3575795954124041
abalone,BagB,35,6.623784125372316,2.207033654265155,1.3239284626872077
abalone,BagB,40,6.637478616113091,2.1938122946589296,1.3508020698519878
abalone,BagB,45,6.699911969740896,2.2037272361407267,1.3577548521115468
abalone,BagB,50,6.636387814686595,2.1936773078221345,1.3506175194453929
abalone,BagB,55,6.755831802013188,2.1897510580029644,1.40029357849991
abalone,BagB,60,6.787751745797998,2.2081174033471584,1.3827397726374253
abalone,BagB,65,6.768540531598316,2.213339289316385,1.3673586661760537
abalone,BagB,70,6.701896006063102,2.2110349898181516,1.3465586804380076
abalone,BagB,75,6.662433786877477,2.187482429997847,1.3701658313241476
abalone,BagB,80,6.590485642062504,2.185818750177923,1.346358805606115
abalone,BagB,85,6.725172897739883,2.196544782971455,1.378536874421851
abalone,BagB,90,6.742544900321067,2.197900940483905,1.3826700098508804
abalone,BagB,95,6.777188796087647,2.211599535271932,1.3733230834995163
abalone,BagB,100,6.771357283977802,2.213261688070639,1.36851378659351
