dataset,method,boosting_iterations,mean_error,sqrt_mean_bias,sqrt_mean_var
ailerons,BagB,5,0.0029710442114213153,0.0495571104324769,0.022696630080357827
ailerons,BagB,10,0.0029179196612496754,0.047899513615778974,0.024971108437982482
ailerons,BagB,15,0.0029717564992029193,0.047921178370129054,0.02598686519804177
ailerons,BagB,20,0.0029163490916737393,0.04665579217052889,0.027195333213883482
ailerons,BagB,25,0.0030337185294253034,0.04677805124746015,0.029078040699388522
ailerons,BagB,30,0.0030598190223501253,0.04668692166964468,0.029667328281505003
ailerons,BagB,35,0.002995025589216694,0.046184805961508694,0.02935965407688732
ailerons,BagB,40,0.003058873028322762,0.04656772048564894,0.029838237834919706
ailerons,BagB,45,0.0031604091632074635,0.04665845545886838,0.03135917246038643
ailerons,BagB,50,0.0030882834708440775,0.04629635552024935,0.030739728957600708
ailerons,BagB,55,0.003225919580845923,0.04701481303038878,0.031867333377041576
ailerons,BagB,60,0.003168189025972054,0.04676450387341515,0.031325232695790045
ailerons,BagB,65,0.0031379798728307625,0.046338741210321055,0.031475402076441464
ailerons,BagB,70,0.003119058835126378,0.04651917689306134,0.030903479032601586
ailerons,BagB,75,0.003148007777218282,0.046292193973051655,0.03170237458581994
ailerons,BagB,80,0.0030675366495167165,0.04593096139961394,0.030949691992391313
ailerons,BagB,85,0.0031421375644593145,0.04636952154627731,0.03149611144298036
ailerons,BagB,90,0.0031253473506284006,0.04642636195877103,0.031143864016874644
ailerons,BagB,95,0.0033585431088360334,0.04714113359536955,0.03370840595726166
ailerons,BagB,100,0.003172640626264105,0.04648179398586214,0.03181325909302557
