dataset,method,boosting_iterations,mean_error,sqrt_mean_bias,sqrt_mean_var
bike,BagB,5,6112.6759216608325,69.07693479598765,36.620390506542975
bike,BagB,10,5880.258392871012,65.8891285542108,39.22857544236973
bike,BagB,15,5894.712575455616,65.10967280801484,40.68713657028313
bike,BagB,20,5981.489516039675,64.95295776787273,41.98336329124451
bike,BagB,25,6035.800765229926,64.86631887613538,42.757004580412875
bike,BagB,30,6078.049460365699,64.86158790403388,43.255333485397884
bike,BagB,35,6094.087056867293,64.82238387694588,43.49880004525596
bike,BagB,40,6119.511733778034,64.89624347606315,43.680537044243906
bike,BagB,45,6142.463906307501,64.94900633236064,43.86445580132595
bike,BagB,50,6147.398959248517,64.91102865426166,43.97678158180905
bike,BagB,55,6166.309625904936,64.98609517261383,44.080801491362585
bike,BagB,60,6169.5841391505255,64.9816093031043,44.12453502904291
bike,BagB,65,6174.744227621786,64.98408399845034,44.179328361849706
bike,BagB,70,6173.025611278245,64.97100537349208,44.17911352704929
bike,BagB,75,6170.726788998896,64.94615194784201,44.18963833487114
bike,BagB,80,6171.050236167238,64.95324770144543,44.182868277217025
bike,BagB,85,6173.108688395234,64.96389460771714,44.19050900128504
bike,BagB,90,6174.053978625458,64.96573899474117,44.198492457239134
bike,BagB,95,6174.739669243162,64.97263418594223,44.196113813127205
bike,BagB,100,6173.834551462815,64.97156823614932,44.1874402109718
