dataset,method,boosting_iterations,mean_error,sqrt_mean_bias,sqrt_mean_var
FriedmanGra,B,5,18.19635197501298,3.170714600534637,2.8535803645542317
FriedmanGra,BB,5,11.796802713414042,3.081225191637014,1.5175157435214588
FriedmanGra,B,10,20.509576160043803,3.202845271577615,3.201774246629002
FriedmanGra,BB,10,12.188656262172461,3.077657889707013,1.648234866788298
FriedmanGra,B,15,22.025809451517524,3.223323078087772,3.4111578365394193
FriedmanGra,BB,15,12.40984360135028,3.0750563617240654,1.718683209195527
FriedmanGra,B,20,23.068458630702164,3.240000365140476,3.545540334644601
FriedmanGra,BB,20,12.55981004672589,3.0748849655372417,1.7620705137533303
FriedmanGra,B,25,23.746665138756004,3.2506963404838825,3.6303771760962653
FriedmanGra,BB,25,12.649424003328043,3.0739838605269387,1.7888675827315843
FriedmanGra,B,30,24.217023024206693,3.2579508451041153,3.6881945874766524
FriedmanGra,BB,30,12.735202903130793,3.0764854500731684,1.8084358375731462
FriedmanGra,B,35,24.500388318683317,3.2603059573546065,3.7243514043550436
FriedmanGra,BB,35,12.795495467540405,3.078035304840204,1.8224143682756884
FriedmanGra,B,40,24.69214091599823,3.262045051043986,3.748493430827599
FriedmanGra,BB,40,12.839873835054728,3.079420737056751,1.8322231739718784
FriedmanGra,B,45,24.8438326729184,3.2655592127057407,3.765628194767915
FriedmanGra,BB,45,12.875239423794614,3.08094095772645,1.8393048248722235
FriedmanGra,B,50,24.189100933104886,3.2472089492533653,3.6938780398104294
FriedmanGra,BB,50,12.802164012738737,3.0773856107455537,1.8253388221135696
FriedmanGra,B,55,25.068216601002998,3.275348022141389,3.786860432450276
FriedmanGra,BB,55,12.901195884082451,3.0780349636296647,1.8511879015258772
FriedmanGra,B,60,24.40832899488068,3.250624018655693,3.720453263275779
FriedmanGra,BB,60,12.740088258407322,3.0671349328251836,1.825588004520949
FriedmanGra,B,65,24.46347907822428,3.2484889592456905,3.729718294976597
FriedmanGra,BB,65,12.695639202408735,3.0553865010786683,1.8330991602842954
FriedmanGra,B,70,24.36718399828886,3.255952498606649,3.710250304912861
FriedmanGra,BB,70,12.749030685058381,3.066764534182408,1.8286568778585386
FriedmanGra,B,75,25.134706318643786,3.2703510266535645,3.7999355890738147
FriedmanGra,BB,75,12.908673252359273,3.0748476903741633,1.8584899605216991
FriedmanGra,B,80,24.402591596044527,3.2615173933851085,3.710134214377013
FriedmanGra,BB,80,12.737799631061367,3.0627446292307936,1.8323195592415906
FriedmanGra,B,85,25.148763440039126,3.2747348872957365,3.7980093283149405
FriedmanGra,BB,85,12.925309692030826,3.0771847325022335,1.8590975805712784
FriedmanGra,B,90,25.15821476824366,3.271602079797682,3.801951419956223
FriedmanGra,BB,90,12.955047647478347,3.0807271477026603,1.861227522063377
FriedmanGra,B,95,24.50050327164516,3.2596214671131607,3.7249659277341327
FriedmanGra,BB,95,12.852579485312756,3.0787381820326623,1.8368316993690457
FriedmanGra,B,100,25.533947188787472,3.287766134512783,3.8372569673581083
FriedmanGra,BB,100,13.180581131684017,3.090239359833545,1.9055187825417979
