dataset,method,boosting_iterations,mean_error,sqrt_mean_bias,sqrt_mean_var
FriedmanGsg,B,5,20.025607947715606,3.4357368962616723,2.8672844168972524
FriedmanGsg,BB,5,13.563142190376192,3.3472183175114747,1.5359920980564468
FriedmanGsg,B,10,22.62955502546881,3.4785362688806933,3.2448945208666484
FriedmanGsg,BB,10,14.09656904157853,3.3569092766980253,1.6815853084507113
FriedmanGsg,B,15,24.35257711639108,3.510510075879741,3.4682699035020175
FriedmanGsg,BB,15,14.394639609727928,3.3603567779918277,1.7614317853190664
FriedmanGsg,B,20,25.451730324663153,3.5248553272919128,3.609310910177312
FriedmanGsg,BB,20,14.621351089408225,3.367277315753037,1.8118483844470112
FriedmanGsg,B,25,26.176517093934148,3.535876168306944,3.6978502966362976
FriedmanGsg,BB,25,14.76113224007006,3.3693082241052714,1.84631913033653
FriedmanGsg,B,30,26.67866425325277,3.5425477984975395,3.7588587827441735
FriedmanGsg,BB,30,14.890218974970931,3.376636962765319,1.8677638492748314
FriedmanGsg,B,35,27.022690495502967,3.5475453081535613,3.799685879398535
FriedmanGsg,BB,35,14.95980994082968,3.3788258655059136,1.882377675021114
FriedmanGsg,B,40,27.257883393785637,3.5500212177216186,3.8282153475884755
FriedmanGsg,BB,40,15.012044710593722,3.380382068298403,1.8934259380605123
FriedmanGsg,B,45,27.42349392527682,3.5534156432144917,3.846651945762101
FriedmanGsg,BB,45,15.039812966066313,3.3804691614524374,1.900589701786098
FriedmanGsg,B,50,27.29185984073232,3.541661343627304,3.840376904392115
FriedmanGsg,BB,50,14.866087455451723,3.361717915050383,1.8881049004441006
FriedmanGsg,B,55,27.864225283711317,3.564151464752898,3.893719252849529
FriedmanGsg,BB,55,15.035479249776946,3.373044141867399,1.9126035832840458
FriedmanGsg,B,60,27.43100147762197,3.5485595863994535,3.85210674039473
FriedmanGsg,BB,60,15.02716702385741,3.3766801876643187,1.9039952557957367
FriedmanGsg,B,65,27.098244529512122,3.5410231185551764,3.8156781577289633
FriedmanGsg,BB,65,15.001045882152786,3.3742238423457906,1.9014887177940332
FriedmanGsg,B,70,27.463320379883935,3.5483845840708557,3.856460452722449
FriedmanGsg,BB,70,14.959451255426128,3.3662389191751543,1.9047012349595982
FriedmanGsg,B,75,27.786367251372916,3.5582527831579513,3.889113572849424
FriedmanGsg,BB,75,15.040437275012255,3.3730868864624277,1.9138239551712832
FriedmanGsg,B,80,27.467001124942136,3.5448137166093456,3.8602197916025935
FriedmanGsg,BB,80,14.993085739440968,3.374539878535616,1.898832890913205
FriedmanGsg,B,85,27.767648063206885,3.5542746343885443,3.890344443175831
FriedmanGsg,BB,85,15.144697887053812,3.378121130217316,1.9320961458046269
FriedmanGsg,B,90,27.762920083358058,3.5581108641565784,3.8862278834017165
FriedmanGsg,BB,90,15.087950931517984,3.374176969865743,1.9242870647451784
FriedmanGsg,B,95,27.453663833170044,3.5421840764134163,3.860906085619447
FriedmanGsg,BB,95,14.949431931206655,3.3640573866064267,1.9059249279091237
FriedmanGsg,B,100,28.413078591259826,3.5917753857130306,3.938556609958251
FriedmanGsg,BB,100,15.343576665309154,3.3850641499303373,1.9710193723465932
