dataset,method,boosting_iterations,mean_error,sqrt_mean_bias,sqrt_mean_var
House8L,B,5,1542092265.6445422,30969.3681354392,24145.19627040098
House8L,BB,5,1113634615.2217555,30523.97679279161,13487.826213844633
House8L,B,10,1718986866.8101172,30736.401193694735,27825.53698440262
House8L,BB,10,1138643606.9297652,30091.215122731468,15269.655509122076
House8L,B,15,1840280448.4927802,30883.83504878263,29773.632314052076
House8L,BB,15,1162804281.3631063,30041.708921282916,16133.815619747753
House8L,B,20,1931062131.5482693,30994.595120143393,31151.199092276573
House8L,BB,20,1179451194.7552087,30029.427072940744,16663.874232186896
House8L,B,25,1973990050.1739833,31084.195787914465,31745.2803168059
House8L,BB,25,1190057419.9612405,30024.992442786628,16986.97291373147
House8L,B,30,2019647272.897987,30998.271789680177,32538.506710528447
House8L,BB,30,1204983884.4735072,30157.88203011023,17189.707267183505
House8L,B,35,2022195401.3091004,31167.439745442236,32415.831024721985
House8L,BB,35,1191157157.3319836,29983.26089315292,17092.724286816025
House8L,B,40,2043173053.456178,31210.88265373883,32696.389057978904
House8L,BB,40,1205940090.5400982,30116.672361540634,17289.48051295101
House8L,B,45,2050794233.364472,31091.710169564005,32925.67071596722
House8L,BB,45,1205485454.20807,30058.93058468766,17376.597662171927
House8L,B,50,2132127114.647901,31458.655332035083,33800.59347627083
House8L,BB,50,1207011479.1420462,30072.2573919768,17397.437009305213
House8L,B,55,2065232116.606755,31052.043988024805,33181.36044185843
House8L,BB,55,1203525864.847755,29995.435460446617,17429.85130131456
House8L,B,60,2070301129.281938,31244.082494739894,33077.310022790945
House8L,BB,60,1224533422.4742255,30270.35367420699,17556.739757501928
House8L,B,65,2180469518.772805,31916.130292884118,34085.62960985832
House8L,BB,65,1226983122.1530573,30320.632235197634,17539.737256040964
House8L,B,70,2061819173.4927526,31120.478454436532,33065.616495987255
House8L,BB,70,1202374842.4726923,29976.342439936663,17429.679755989335
House8L,B,75,2172600112.8540516,31757.370627461223,34118.46309088548
House8L,BB,75,1241320546.8741956,30400.471309398818,17808.19729901416
House8L,B,80,2080600246.1778786,31101.5008880938,33366.10388831425
House8L,BB,80,1226069476.099095,30277.23333578486,17588.593395423446
House8L,B,85,2087085994.2194107,31186.130324743397,33384.296751429865
House8L,BB,85,1210563866.7127497,30128.178085204305,17402.78000719899
House8L,B,90,2056123962.4133096,31001.925699668118,33090.85319730464
House8L,BB,90,1214975375.875294,30091.58488995621,17591.813285896733
House8L,B,95,2084019104.3723557,31272.833620373432,33257.01402298163
House8L,BB,95,1209097364.5610151,30058.14117040973,17481.576414635336
House8L,B,100,2078362403.590067,31221.48180728427,33220.196828849235
House8L,BB,100,1214460733.9730203,30125.207700269242,17519.491858745765
