dataset,method,boosting_iterations,mean_error,sqrt_mean_bias,sqrt_mean_var
bike,B,5,10878.157067830785,73.37925561695197,74.11910626102295
bike,BB,5,6205.849274596608,68.37748678464907,39.119925557339066
bike,B,10,11258.763531986118,70.00900890515453,79.73394637232069
bike,BB,10,5830.536346228202,64.86732881838971,40.28356982933751
bike,B,15,11667.714411200976,69.39991457280216,82.77298030449755
bike,BB,15,5809.107489128861,64.18562404211146,41.10125491336711
bike,B,20,12040.831732305036,69.54345648930106,84.87955815050951
bike,BB,20,5812.391397889121,63.88855002684341,41.601016494271484
bike,B,25,12297.719964586062,69.54812010285082,86.37580074734763
bike,BB,25,5838.143826295531,63.85244882069576,41.964373054961264
bike,B,30,12492.145416407922,69.57605953928326,87.47180891803961
bike,BB,30,5849.503659456368,63.750560352644094,42.253635514358415
bike,B,35,12635.539942953003,69.74632343848555,88.15322064319128
bike,BB,35,5863.186643209219,63.742310030955196,42.427639047286235
bike,B,40,12728.221058985257,69.77812118101643,88.65232576437374
bike,BB,40,5873.332419230919,63.71712583555211,42.5847425081723
bike,B,45,12784.890703369256,69.76311115268275,88.98313899648454
bike,BB,45,5874.944687041638,63.685794791050924,42.65048919852841
bike,B,50,12831.153172968525,69.76251224793546,89.24317933503477
bike,BB,50,5880.369097497799,63.68478194978419,42.71554337130971
bike,B,55,12861.141538949483,69.76459624895827,89.40941029427115
bike,BB,55,5877.995257782002,63.64066822368868,42.75348647565934
bike,B,60,12872.167987592158,69.75610934105545,89.47766870672747
bike,BB,60,5882.083368799455,63.64818179263616,42.79009608882636
bike,B,65,12897.263033221676,69.74790949122699,89.62417171067905
bike,BB,65,5881.934743282289,63.63447520534423,42.80874103057362
bike,B,70,12906.004104143049,69.73837732889798,89.68033692886806
bike,BB,70,5879.6724383205965,63.60890642315069,42.82031599569829
bike,B,75,12912.503667155546,69.74123050450959,89.71434910242846
bike,BB,75,5879.963924326408,63.60659320400685,42.82715523247368
bike,B,80,12913.228517989573,69.7219756652864,89.73335292587025
bike,BB,80,5879.583908490431,63.600403069131374,42.83191144385755
bike,B,85,12915.101043415018,69.76469147482347,89.71058391760535
bike,BB,85,5878.656215604117,63.58983825544732,42.83676792488161
bike,B,90,12919.132118252066,69.77308839964503,89.72651923164848
bike,BB,90,5879.28741562977,63.588401710680046,42.84626685617959
bike,B,95,12926.615463148068,69.8043263449715,89.74392172550063
bike,BB,95,5877.743139205018,63.573814868637946,42.84989150806765
bike,B,100,12922.57469827163,69.78850484128382,89.73371323136993
bike,BB,100,5878.897580319548,63.58263063851399,42.85028192912913
