dataset,method,boosting_iterations,mean_error,sqrt_mean_bias,sqrt_mean_var
elevators,B,5,2.785677090424559e-05,0.003402634645472809,0.004034705487848366
elevators,BB,5,1.6457768489806837e-05,0.0034480456921537426,0.002137463308369726
elevators,B,10,2.9978366128109215e-05,0.0032753253431293166,0.004387551711919079
elevators,BB,10,1.572698797084237e-05,0.0032641963097537322,0.002252112435521923
elevators,B,15,3.1675005409975816e-05,0.00325236766996735,0.004593159038105143
elevators,BB,15,1.5591639253657895e-05,0.0031933918459908497,0.002322474493211292
elevators,B,20,3.300710958348536e-05,0.0032405689221067287,0.004744030211177137
elevators,BB,20,1.5629139351954637e-05,0.0031649173278754526,0.0023690583909368595
elevators,B,25,3.407374610985645e-05,0.0032466438221458714,0.004851087507145022
elevators,BB,25,1.571836033174527e-05,0.003152887794375624,0.00240367611957653
elevators,B,30,3.486837280968241e-05,0.003254051134206039,0.0049274256996584736
elevators,BB,30,1.5784043469174064e-05,0.0031471004213642416,0.0024248303872689892
elevators,B,35,3.544234047519775e-05,0.0032567865332939097,0.004983541105655013
elevators,BB,35,1.5847227714355438e-05,0.0031437483437773035,0.002442145381698825
elevators,B,40,3.58537349505125e-05,0.0032586123011143484,0.005023463030772571
elevators,BB,40,1.5908336904816766e-05,0.0031410720736264617,0.002458048643355278
elevators,B,45,3.618226438658608e-05,0.0032642720033652715,0.00505240464280443
elevators,BB,45,1.5949209621396205e-05,0.003139907090723067,0.0024678316561352414
elevators,B,50,3.640652713036246e-05,0.003265683536613745,0.0050736415097100045
elevators,BB,50,1.598383946792349e-05,0.0031389189143994803,0.0024760911769861546
elevators,B,55,3.6557640686307686e-05,0.0032664802716435687,0.005088000326382756
elevators,BB,55,1.600387394384426e-05,0.0031362793317789607,0.0024834705347356904
elevators,B,60,3.672262390698648e-05,0.0032695266693338046,0.0051022366924224
elevators,BB,60,1.60157157252457e-05,0.003134452441535326,0.002488156670509101
elevators,B,65,3.678950762026771e-05,0.003269651089155225,0.005108707211756587
elevators,BB,65,1.6024163017591865e-05,0.003132629737103659,0.002492146453923952
elevators,B,70,3.683883747142097e-05,0.0032703127705275463,0.005113109802688126
elevators,BB,70,1.6038548908295693e-05,0.0031317071997873386,0.0024961888796915673
elevators,B,75,3.6907888052858915e-05,0.003270326104284221,0.0051198491407946885
elevators,BB,75,1.6063088275396706e-05,0.003131883145506769,0.0025008790930965315
elevators,B,80,3.694349531493582e-05,0.0032708874490453154,0.00512296697340649
elevators,BB,80,1.607674990882956e-05,0.0031320766035451597,0.0025033669444079853
elevators,B,85,3.6967972990616415e-05,0.003271836578594532,0.005124749593256947
elevators,BB,85,1.608870632903035e-05,0.003132577964926355,0.00250512706717408
elevators,B,90,3.698423228184213e-05,0.0032715690121332083,0.005126506459636218
elevators,BB,90,1.6097551311706243e-05,0.003132521436848815,0.0025069624567170684
elevators,B,95,3.699967414629238e-05,0.0032711339058202013,0.005128289882259568
elevators,BB,95,1.6102439872392253e-05,0.0031320857749712857,0.002508481327539588
elevators,B,100,3.700232782165686e-05,0.0032710037755921836,0.0051286316032367295
elevators,BB,100,1.6107599550746242e-05,0.0031317786615276825,0.002509892819613244
