dataset,method,boosting_iterations,mean_error,sqrt_mean_bias,sqrt_mean_var
FriedmanGsg,BagB,5,12.80176818515595,3.331282364425259,1.305498369828629
FriedmanGsg,BagB,10,13.3599448827862,3.3394842932274478,1.485863229935169
FriedmanGsg,BagB,15,13.750134838715422,3.3474032678191263,1.5953138253363357
FriedmanGsg,BagB,20,14.012862257044608,3.352640026235269,1.6651327609322273
FriedmanGsg,BagB,25,14.181763828380323,3.355810548883194,1.708888348718136
FriedmanGsg,BagB,30,14.27551714258193,3.3543663830907535,1.7388914027542344
FriedmanGsg,BagB,35,14.351879230787153,3.3549438749563043,1.7596109873151884
FriedmanGsg,BagB,40,14.404337354254821,3.3557609042275383,1.7729089395433701
FriedmanGsg,BagB,45,14.442062345243551,3.356531127444016,1.7820665351616227
FriedmanGsg,BagB,50,14.416367954296692,3.355696546207839,1.776420176665834
FriedmanGsg,BagB,55,14.460327947032889,3.356563607383524,1.7871230222403258
FriedmanGsg,BagB,60,14.506056973193584,3.3569769493439807,1.7991005349248168
FriedmanGsg,BagB,65,14.439794141943128,3.353669529343471,1.7868113582290306
FriedmanGsg,BagB,70,14.467354047570913,3.3565300716788573,1.7891506156515828
FriedmanGsg,BagB,75,14.55590006920077,3.3631760277812996,1.8013736634463078
FriedmanGsg,BagB,80,14.439713003540135,3.354776599496332,1.7847092118919428
FriedmanGsg,BagB,85,14.520056149120574,3.3610448316349157,1.7953923774096838
FriedmanGsg,BagB,90,14.479285300276194,3.3531548547784644,1.7987878752515014
FriedmanGsg,BagB,95,14.475736043257124,3.356728490502536,1.7911197291933583
FriedmanGsg,BagB,100,14.767472606830562,3.3746499664765714,1.838262824133219
