dataset,method,boosting_iterations,mean_error,sqrt_mean_bias,sqrt_mean_var
fried,BagB,5,3.2509131990345295,1.3116249083809837,1.237155325231681
fried,BagB,10,3.2218512316551524,1.2237839434568232,1.3130895214692788
fried,BagB,15,3.3397830838667133,1.2201485960051324,1.360522137832905
fried,BagB,20,3.4417624409311074,1.2232593232531188,1.3947756339302133
fried,BagB,25,3.5203457723142364,1.2257586846277406,1.4205144910819836
fried,BagB,30,3.5676651746031993,1.2270611799840319,1.4359617109029736
fried,BagB,35,3.5996136043200897,1.2271230977134477,1.446990845644243
fried,BagB,40,3.6219113509161467,1.227726019984406,1.4541664866064672
fried,BagB,45,3.6385827123105776,1.229169724031736,1.4586721707890102
fried,BagB,50,3.462478530735356,1.2248495503805386,1.4007933857881927
fried,BagB,55,3.5998403743309857,1.2208230627986614,1.4523881794031106
fried,BagB,60,3.467613626945421,1.1993259669880525,1.4245107412208564
fried,BagB,65,3.552031415360909,1.2127614691194462,1.4426506972861282
fried,BagB,70,3.3382294082561303,1.1718569979441709,1.4017776516357385
fried,BagB,75,3.5983219736129124,1.2142942136781,1.4573302769931038
fried,BagB,80,3.3548748939419797,1.1773997432444296,1.403069755411302
fried,BagB,85,3.572276596509704,1.2074966553353277,1.454038659686771
fried,BagB,90,3.6718781431989482,1.2316632179412472,1.4679522678784755
fried,BagB,95,3.332535757334149,1.1672127296955637,1.4036203906223292
fried,BagB,100,3.7924521794854975,1.2728597521534741,1.4738657438292315
