dataset,method,boosting_iterations,mean_error,sqrt_mean_bias,sqrt_mean_var
FriedmanLea,B,5,13.25659841832639,2.378337842457585,2.7568292521410513
FriedmanLea,BB,5,7.444443985447464,2.3067629046554945,1.4571509486504168
FriedmanLea,B,10,14.651461184400228,2.375262347933611,3.001597901599935
FriedmanLea,BB,10,7.500839390949331,2.2654437312092175,1.539026995108984
FriedmanLea,B,15,15.710830024950317,2.394874986993565,3.158386268590796
FriedmanLea,BB,15,7.6770628681994655,2.2720761370288955,1.5857909369596344
FriedmanLea,B,20,16.432063473217738,2.415238579428966,3.2555623289465196
FriedmanLea,BB,20,7.775020602865955,2.273397291790294,1.614523259834466
FriedmanLea,B,25,16.902728207030385,2.4257104497952735,3.3194362504474157
FriedmanLea,BB,25,7.8406387897971275,2.273977228703919,1.633911366363908
FriedmanLea,B,30,17.219211741111273,2.430819898101905,3.363082866077361
FriedmanLea,BB,30,7.881653779468979,2.2740499460869326,1.646314253771436
FriedmanLea,B,35,17.431188809740995,2.4334515532181578,3.392565747024091
FriedmanLea,BB,35,7.907689196060678,2.2734702452706017,1.6549991661417565
FriedmanLea,B,40,17.57571944766194,2.435809161235578,3.412118576149248
FriedmanLea,BB,40,7.932716394192231,2.2746289778844795,1.6609573766838324
FriedmanLea,B,45,17.66435062847618,2.436672388427129,3.424467593649122
FriedmanLea,BB,45,7.94349652593421,2.2741467617911733,1.664858261765527
FriedmanLea,B,50,18.23439855947019,2.4800204540781814,3.4761900274329136
FriedmanLea,BB,50,7.950710099245344,2.261964369585726,1.6835163468080712
FriedmanLea,B,55,17.79144477517577,2.4488477599579594,3.4343251773419263
FriedmanLea,BB,55,7.854766183940379,2.253531943097376,1.6662412686583372
FriedmanLea,B,60,17.347675214060594,2.427372024471148,3.38460341382494
FriedmanLea,BB,60,7.635239923027285,2.23368505097902,1.6266195056189818
FriedmanLea,B,65,18.11916112955654,2.4508015851876523,3.480335144723599
FriedmanLea,BB,65,7.981494310467949,2.25190300057243,1.7059974169033303
FriedmanLea,B,70,17.210591582665078,2.4255529425393023,3.3656031414300775
FriedmanLea,BB,70,7.653499445234408,2.241774438433375,1.621094325577983
FriedmanLea,B,75,17.68627047450317,2.4344067584895326,3.429276047320143
FriedmanLea,BB,75,7.808708582095361,2.242668895644687,1.6670767248699747
FriedmanLea,B,80,17.224883757140038,2.416735485510505,3.374058883631751
FriedmanLea,BB,80,7.691711883296835,2.2484545689066127,1.6236267843503362
FriedmanLea,B,85,17.95394414224006,2.463609527222958,3.4474007947461422
FriedmanLea,BB,85,8.00671352341207,2.274563162150079,1.6831743655373042
FriedmanLea,B,90,17.954648456483177,2.451862214633479,3.455867494122972
FriedmanLea,BB,90,7.9533056645182825,2.268712931644383,1.6751857503894407
FriedmanLea,B,95,17.303553903919305,2.4320072325354896,3.3747436532001025
FriedmanLea,BB,95,7.76514478886299,2.2606349587721235,1.6293171490045613
FriedmanLea,B,100,18.148946510564837,2.4666794297323333,3.4733901453047578
FriedmanLea,BB,100,8.018728309174879,2.27313754420012,1.6886604200734756
