dataset,method,boosting_iterations,mean_error,sqrt_mean_bias,sqrt_mean_var
MetroTraffic,B,5,5411300.101067463,1991.7505765270876,1201.7611002073063
MetroTraffic,BB,5,4441484.50564468,1962.1293603922013,769.1117465827523
MetroTraffic,B,10,5754453.384741208,2002.926904282203,1320.127721413242
MetroTraffic,BB,10,4601886.850457625,1967.190913604373,855.5973117594618
MetroTraffic,B,15,6483019.870478751,2027.1666609493614,1540.6541465280804
MetroTraffic,BB,15,4951759.743575616,1980.7634263491227,1014.0690274400944
MetroTraffic,B,20,6879937.472667873,2041.4527496639134,1646.9390224162887
MetroTraffic,BB,20,5137549.772857134,1985.7946734300472,1092.7805304973124
MetroTraffic,B,25,6939712.623366485,2033.1954405142365,1675.060871741265
MetroTraffic,BB,25,5227469.622781003,1984.6346307349136,1135.2070318971325
MetroTraffic,B,30,7315984.483065924,2048.114562146379,1766.6950001032637
MetroTraffic,BB,30,5401123.28950383,1990.96864917126,1198.819055371159
MetroTraffic,B,35,7387220.457313806,2058.3803312781024,1774.9058761301271
MetroTraffic,BB,35,5426755.611221114,1994.0900774255563,1204.309085880387
MetroTraffic,B,40,7464734.302926076,2057.9023936794024,1797.15665455593
MetroTraffic,BB,40,5442969.83544741,1989.7369813829287,1218.161147124862
MetroTraffic,B,45,7511322.026136075,2056.0011935483817,1812.2309781768174
MetroTraffic,BB,45,5480381.773184816,1994.5404941218515,1225.6386051740442
MetroTraffic,B,50,7297851.213813484,2048.332813750473,1761.3017623129067
MetroTraffic,BB,50,5445362.943826857,1989.6076686677118,1219.3540374335462
MetroTraffic,B,55,7534720.107536194,2058.18440958468,1816.2040203894373
MetroTraffic,BB,55,5536983.58542632,1995.027196810202,1247.7379810737302
MetroTraffic,B,60,7560341.06823841,2053.82320880819,1828.1551616860206
MetroTraffic,BB,60,5585765.589209561,1995.6235277207384,1266.196005686717
MetroTraffic,B,65,7539174.556618941,2053.478491554806,1822.7453583374552
MetroTraffic,BB,65,5553409.028001161,1996.0623049879266,1252.6549016418874
MetroTraffic,B,70,7582266.231311093,2059.200137858725,1828.1031216957372
MetroTraffic,BB,70,5594006.963610285,2000.3907109703057,1261.9207451634986
MetroTraffic,B,75,7567224.328593396,2055.8000917539634,1827.815721383803
MetroTraffic,BB,75,5579305.931124528,1998.30411986002,1259.3992915969893
MetroTraffic,B,80,7593807.613865791,2054.732274744722,1836.2687420386408
MetroTraffic,BB,80,5616932.480696404,1998.610058663677,1273.7701182335766
MetroTraffic,B,85,7563608.638615968,2060.8572491199534,1821.1194462104088
MetroTraffic,BB,85,5585986.082397943,1994.760787464651,1267.6417014248739
MetroTraffic,B,90,7580928.442561601,2053.457667301273,1834.1864821122238
MetroTraffic,BB,90,5602713.266266874,1996.8148665912763,1271.0010443846763
MetroTraffic,B,95,7568739.24315851,2056.774743459484,1827.133519430281
MetroTraffic,BB,95,5619602.550922672,2004.6188064703417,1265.3481701366209
MetroTraffic,B,100,7657529.932322199,2066.750208961107,1840.128665632221
MetroTraffic,BB,100,5614157.056270121,1995.4626562669703,1277.6094253386234
