dataset,method,boosting_iterations,mean_error,sqrt_mean_bias,sqrt_mean_var
abalone,B,5,8.752321331293842,2.2472440599750128,1.9241142030037781
abalone,BB,5,6.085514481115558,2.1975263795291307,1.1208890633729773
abalone,B,10,9.519037112873455,2.2328381110751736,2.1291949376709747
abalone,BB,10,6.315480044698533,2.186322478830449,1.2391424709286718
abalone,B,15,10.142065941981466,2.2380295951471796,2.2656763831639366
abalone,BB,15,6.473303725308969,2.1815268289912937,1.3092915716906448
abalone,B,20,10.558817071258146,2.2502907238044507,2.3441434959527943
abalone,BB,20,6.604619361222987,2.180653360292147,1.3599155427707834
abalone,B,25,10.847700049109894,2.2515361637859046,2.4038063466665003
abalone,BB,25,6.6932830562819685,2.181067280720113,1.3914843057879385
abalone,B,30,11.611813435898,2.260661030425634,2.549750015474637
abalone,BB,30,6.816103209740811,2.1671892568891797,1.4558138392545028
abalone,B,35,11.315667419289138,2.2687577787305293,2.4836275003991344
abalone,BB,35,6.7764609962860565,2.180451152354546,1.4220034347644137
abalone,B,40,11.219174537336306,2.2551543250869903,2.4765810116726943
abalone,BB,40,6.788347594282986,2.17088337815659,1.4406987723762443
abalone,B,45,11.655041514258851,2.224762124089781,2.589493194714822
abalone,BB,45,6.80980930892609,2.157225445744419,1.4683962970393523
abalone,B,50,11.847494227548424,2.2752078115290817,2.5828131256259073
abalone,BB,50,6.787481940821205,2.1743995617211924,1.435084836101299
abalone,B,55,12.076247422987947,2.2754288738869186,2.626532098199003
abalone,BB,55,6.827831715586744,2.154362650156838,1.4786998637979074
abalone,B,60,12.054040957315584,2.27651246815709,2.621360703840831
abalone,BB,60,6.832971522911872,2.168874451738561,1.459093943345537
abalone,B,65,11.952395190391886,2.3076957008842722,2.5742835396498442
abalone,BB,65,6.89524834755277,2.1854147778983517,1.45575087020282
abalone,B,70,11.734777781993373,2.27701895423802,2.559289445145697
abalone,BB,70,6.851137500132333,2.170825735568168,1.4624134592950295
abalone,B,75,11.617723754051013,2.2709118746269787,2.5417873655617207
abalone,BB,75,6.847818959726664,2.174106683875745,1.456392490660905
abalone,B,80,11.643207497171801,2.2460616348559084,2.5687379449060597
abalone,BB,80,6.798575192775873,2.1633614506691194,1.4554870066526444
abalone,B,85,12.047384573551467,2.2683457802659115,2.627164249661848
abalone,BB,85,6.9709596370853575,2.172770369799685,1.5000095190384288
abalone,B,90,11.906675757312023,2.2304441641935884,2.6328301479067706
abalone,BB,90,6.846201761001751,2.146559486737114,1.4961564526815525
abalone,B,95,11.775900284033096,2.2818878259538318,2.562984243766784
abalone,BB,95,6.856323650339357,2.1769271815264855,1.4550985178572997
abalone,B,100,12.194617759419444,2.3208179050665354,2.6092953092630244
abalone,BB,100,7.028742249292695,2.2031736751113757,1.4747094651452297
