dataset,method,boosting_iterations,mean_error,sqrt_mean_bias,sqrt_mean_var
ailerons,B,5,0.0046943999009612485,0.04988301780136776,0.046968973120451285
ailerons,BB,5,0.0031144388665484265,0.04951886186627661,0.02573560152817577
ailerons,B,10,0.00511857262132926,0.04875962866942786,0.05235524074387176
ailerons,BB,10,0.0030529993481470197,0.04787850801171314,0.027579844428845854
ailerons,B,15,0.005359533409346169,0.04878530241519881,0.05458504994596749
ailerons,BB,15,0.0031364516998772123,0.047717135239002104,0.029317685864678956
ailerons,B,20,0.0053135990129823465,0.04845568386066604,0.05445774246677451
ailerons,BB,20,0.003125722205186738,0.04726327037560158,0.02986478659876076
ailerons,B,25,0.0057927786659366185,0.04854785098606118,0.05861642116823424
ailerons,BB,25,0.003169359951121606,0.047233017992522656,0.030633347228790353
ailerons,B,30,0.006075931699460876,0.04898193435658439,0.06063581290086028
ailerons,BB,30,0.00320928601771808,0.047158580194185375,0.031390354120122095
ailerons,B,35,0.006127742694746012,0.04900975595813682,0.0610392211260095
ailerons,BB,35,0.0031833202726323042,0.046919322732517456,0.0313352425705335
ailerons,B,40,0.006025841636489843,0.048905287603443606,0.06028361701917287
ailerons,BB,40,0.0032890047216141195,0.04731321374093926,0.03241087050849322
ailerons,B,45,0.006599761005239052,0.04986119372630623,0.06413752696687652
ailerons,BB,45,0.003367283318730957,0.04760033405060693,0.03318872575139919
ailerons,B,50,0.00606421567447001,0.049237484743994774,0.0603314658412581
ailerons,BB,50,0.0032266263563098052,0.047043901875863714,0.031835477891872646
ailerons,B,55,0.006502506537833496,0.049595262629096484,0.06358314605761846
ailerons,BB,55,0.00335480998863062,0.0476634680662453,0.0329090230868167
ailerons,B,60,0.006509669865581637,0.049470782972174714,0.06373626516906701
ailerons,BB,60,0.0032780581829763406,0.04723042477827066,0.032362712467289535
ailerons,B,65,0.0066293447680382854,0.0493136670336642,0.06478817030701814
ailerons,BB,65,0.0032868949594265194,0.04724099507426542,0.032483585759884165
ailerons,B,70,0.006322177465795377,0.04938667613990113,0.06231479507827894
ailerons,BB,70,0.003266211838938339,0.047325189126128375,0.032039636594607616
ailerons,B,75,0.0066231164959131795,0.04969751766725207,0.06444589384612762
ailerons,BB,75,0.0032252685803708025,0.04688222205933148,0.03205192404755658
ailerons,B,80,0.006387178097146932,0.0493678658708194,0.06284896114103809
ailerons,BB,80,0.003206850750325697,0.04686045829899972,0.03179541159245161
ailerons,B,85,0.006609941049653791,0.04930166769261476,0.0646474022090662
ailerons,BB,85,0.0032571285239864434,0.04691345576561674,0.032500095263152146
ailerons,B,90,0.0062447005764806095,0.0487835721364271,0.062168027683775065
ailerons,BB,90,0.003235851487975622,0.04685716174374856,0.03225302902512891
ailerons,B,95,0.007250913764588793,0.05090299082256082,0.06826272254977149
ailerons,BB,95,0.003457723230155893,0.04795307245546547,0.034032720611740286
ailerons,B,100,0.006796274963770449,0.04935974587781951,0.0660294665331133
ailerons,BB,100,0.0032465650607639814,0.046931526340170684,0.03231094081183412
