dataset,method,boosting_iterations,mean_error,sqrt_mean_bias,sqrt_mean_var
fried,B,5,8.989679415122762,1.4906877796915505,2.601447550615049
fried,BB,5,3.8738241419529778,1.3995145190648548,1.3839014606826765
fried,B,10,9.841864672002748,1.4674001445352427,2.772832755111765
fried,BB,10,3.715972976832018,1.2992260910241127,1.4240732218654428
fried,B,15,10.503384777782987,1.480405863952078,2.883016346772818
fried,BB,15,3.744896725222246,1.2857415620749946,1.4462936633945396
fried,B,20,11.000520607983688,1.4949004256343081,2.960708247264842
fried,BB,20,3.7879725964896,1.2846718613486074,1.462050206097145
fried,B,25,11.356206072365472,1.5056651822228937,3.0148264347068428
fried,BB,25,3.8184317481510965,1.2847295974152693,1.4723795739130234
fried,B,30,11.59613026196989,1.5134398204773418,3.050513099752794
fried,BB,30,3.8408961751861748,1.2851434841615472,1.4796291428271118
fried,B,35,11.756558950278443,1.519011420437133,3.073949130167903
fried,BB,35,3.852660993227161,1.2840829575228605,1.4845174136487942
fried,B,40,11.857611444983288,1.5221995474878005,3.0887732164422856
fried,BB,40,3.8612047790285047,1.283960302380525,1.4874981414910795
fried,B,45,11.92903484122411,1.5239258843259158,3.0994652345696
fried,BB,45,3.868434357950882,1.2840746744153175,1.4898277042920356
fried,B,50,11.276238026887825,1.504570300312785,3.0020836494515803
fried,BB,50,3.7899281169245613,1.280879965505002,1.466040460182619
fried,B,55,11.911618149431677,1.523780168687635,3.096726036792076
fried,BB,55,3.8044271661505604,1.2644715555336161,1.4851056701113754
fried,B,60,11.839916137107211,1.5027197781064527,3.095440098854265
fried,BB,60,3.562780812884079,1.2305534059418939,1.4312648699695256
fried,B,65,11.705221334927666,1.5099841010873312,3.070043867665599
fried,BB,65,3.752910083466964,1.247048258889923,1.482491390688855
fried,B,70,11.532715208876029,1.4809528590427503,3.0560585462600574
fried,BB,70,3.5163899263361778,1.2093166772214636,1.4331584352506934
fried,B,75,12.06307950517979,1.531481454035701,3.1173135968529833
fried,BB,75,3.81674447766299,1.2607715652278728,1.492380493699864
fried,B,80,11.551305174877792,1.4907528171537092,3.0543348233332357
fried,BB,80,3.559856931944932,1.2211299159255735,1.4382971391115722
fried,B,85,11.962591046362412,1.5161706506620924,3.1086681399649754
fried,BB,85,3.797665170452062,1.2593727914368138,1.4871601603864697
fried,B,90,12.03988414219952,1.5278900111908786,3.11535491652278
fried,BB,90,3.884885837672414,1.2827393580102766,1.4964844058939593
fried,B,95,11.612194921148383,1.4838165433590726,3.067651118820769
fried,BB,95,3.547636287710559,1.2148824399348372,1.4393390652825815
fried,B,100,13.021625569296893,1.5920597887757886,3.238359337420738
fried,BB,100,4.140989315171879,1.3288514073566176,1.5411499772371984
